,Edition,Athlete,NOC,Medal
2388,1912,"PERNAJA, Ilmari",FIN,Silver
2389,1912,"RYDMAN, Arvid",FIN,Silver
2390,1912,"SAASTAMOINEN, Eino",FIN,Silver
2391,1912,"SALOVAARA, Aarne",FIN,Silver
2392,1912,"SAMMALLAHTI, Heikki",FIN,Silver
2393,1912,"SIROLA, Hannes",FIN,Silver
2394,1912,"SUOMELA, Klaus Unno",FIN,Silver
2395,1912,"TANNER, Lauri Arvo",FIN,Silver
2396,1912,"TIIRI, Väinö Edvard",FIN,Silver
2397,1912,"VÄHÄMÄKI, Kaarlo",FIN,Silver
2398,1912,"VARTIA, Arvo",FIN,Silver
2399,1912,"VASAMA, Kaarlo Jalmari",FIN,Silver
2400,1912,"AMUNDSEN, Arthur M.",NOR,Bronze
2401,1912,"ANDERSEN, Jörgen Marius",NOR,Bronze
2402,1912,"BOYESEN, Trygve Carlsen",NOR,Bronze
2403,1912,"BRUSTAD, Georg",NOR,Bronze
2404,1912,"CHRISTENSEN, Conrad",NOR,Bronze
2405,1912,"ENGEBRETSEN, Eugene",NOR,Bronze
2406,1912,"ENGELSTAD, Oscar",NOR,Bronze
2407,1912,"ERIKSEN, Marius",NOR,Bronze
2408,1912,"HANSEN, Axel Henry",NOR,Bronze
2409,1912,"HOL, Peter",NOR,Bronze
2410,1912,"INGEBRETSEN, Olaf",NOR,Bronze
2411,1912,"JACOBSEN, Olof",NOR,Bronze
2412,1912,"JENSEN, Erling",NOR,Bronze
2413,1912,"JENSEN, Thor",NOR,Bronze
2414,1912,"OLSEN, Fritjof",NOR,Bronze
2415,1912,"OLSTAD, Oscar",NOR,Bronze
2416,1912,"PAULSEN, Edvin",NOR,Bronze
2417,1912,"PEDERSEN, Carl Alfred",NOR,Bronze
2418,1912,"PEDERSEN, Paul",NOR,Bronze
2419,1912,"ROBACK, Rolf",NOR,Bronze
2420,1912,"SMEBYE, Sigurd",NOR,Bronze
2421,1912,"THORKILDSEN, Thorleif",NOR,Bronze
2422,1912,"BERTILSSON, Per Daniel",SWE,Gold
2423,1912,"CARLBERG, Carl-Ehrenfried",SWE,Gold
2424,1912,"GRANFELDT, Nils Daniel",SWE,Gold
2425,1912,"HARTZELL, Curt",SWE,Gold
2426,1912,"HOLMBERG, Osvald",SWE,Gold
2427,1912,"HYLLANDER, Anders",SWE,Gold
2428,1912,"JANSE, Axel Johan",SWE,Gold
